,locality,2020-03_hosps,2020-04_hosps,2020-05_hosps,2020-06_hosps,2020-07_hosps,2020-08_hosps,2020-09_hosps,2020-10_hosps,2020-11_hosps,2020-12_hosps,2021-01_hosps,2021-02_hosps,2021-03_hosps,2021-04_hosps,2021-05_hosps,2020-03_deaths,2020-04_deaths,2020-05_deaths,2020-06_deaths,2020-07_deaths,2020-08_deaths,2020-09_deaths,2020-10_deaths,2020-11_deaths,2020-12_deaths,2021-01_deaths,2021-02_deaths,2021-03_deaths,2021-04_deaths,2021-05_deaths,2020-03_cases,2020-04_cases,2020-05_cases,2020-06_cases,2020-07_cases,2020-08_cases,2020-09_cases,2020-10_cases,2020-11_cases,2020-12_cases,2021-01_cases,2021-02_cases,2021-03_cases,2021-04_cases,2021-05_cases
0,Accomack,3,18,49,71,77,88,90,97,107,124,166,183,199,205,209,0,4,12,14,15,19,19,19,21,27,31,35,39,41,42,7,264,909,1042,1074,1145,1182,1223,1346,1698,2342,2602,2709,2810,2845
1,Albemarle,1,16,19,28,52,65,76,96,100,133,156,184,201,217,226,0,4,8,8,11,18,21,24,27,31,35,60,77,83,83,21,103,187,401,735,1034,1306,1612,1908,2808,3924,4840,5275,5704,5786
2,Alexandria,2,97,190,238,269,298,323,327,364,431,489,507,531,557,564,0,21,44,57,58,64,69,75,77,87,104,118,130,134,135,30,754,1974,2325,2798,3378,3852,4337,5366,7298,9435,10328,10940,11645,11818
3,Alleghany,1,4,4,5,5,8,8,13,19,31,50,54,58,58,61,0,0,2,2,3,4,4,4,7,23,31,44,49,48,49,1,6,20,31,57,65,79,123,320,767,1122,1250,1272,1336,1366
4,Amelia,2,6,8,11,13,13,14,17,21,29,35,41,45,50,54,1,1,1,1,1,3,5,6,6,7,10,20,29,31,32,2,15,25,44,72,98,124,148,217,352,640,767,820,878,914
5,Amherst,0,2,3,3,4,9,14,25,31,41,58,77,105,121,123,0,1,0,0,0,1,4,6,6,10,11,23,36,35,37,3,12,27,36,105,290,403,623,819,1443,2380,2674,2788,2902,2938
6,Appomattox,0,0,1,2,2,9,13,18,25,30,41,49,63,67,69,0,0,0,0,0,1,3,6,6,7,8,17,23,24,25,0,20,31,40,68,169,216,308,405,716,1241,1411,1478,1579,1595
7,Arlington,8,167,373,418,434,467,500,541,589,656,729,769,802,829,848,2,41,115,132,136,138,150,154,157,181,201,227,246,252,256,104,967,2116,2479,2897,3555,3995,4714,6299,8872,11691,13151,14227,15089,15285
8,Augusta,0,2,4,8,9,18,23,31,43,76,117,144,152,166,174,0,1,1,2,4,4,7,9,11,29,48,56,70,70,72,0,43,109,185,249,364,512,707,1177,3307,4754,5196,5398,5724,5849
9,Bath,0,0,0,0,0,0,0,1,1,3,5,6,7,7,10,0,0,0,0,0,0,1,0,0,0,8,10,12,10,10,0,0,0,0,4,4,15,26,62,153,241,246,251,266,273
10,Bedford,0,1,2,2,8,23,41,61,80,94,122,150,197,216,234,0,0,2,3,6,8,13,18,19,31,39,68,98,99,102,2,30,57,118,286,546,786,1297,1839,3107,5171,5787,6082,6258,6441
11,Bland,0,0,0,0,0,1,3,4,7,13,19,20,22,25,27,0,0,0,0,0,0,5,5,5,6,9,9,10,10,10,0,0,0,2,7,47,65,78,194,480,603,622,641,668,679
12,Botetourt,2,9,9,12,13,20,24,26,33,39,46,51,56,64,65,1,3,4,4,5,8,10,12,13,17,21,26,34,36,38,5,28,32,121,185,249,306,451,778,1292,1866,2216,2411,2499,2539
13,Bristol,0,0,1,1,6,8,10,19,28,42,72,75,84,91,106,0,0,0,0,0,2,5,7,7,8,24,29,31,33,34,1,1,4,4,57,121,187,314,533,917,1182,1219,1282,1461,1544
14,Brunswick,1,3,6,15,24,25,29,30,33,42,47,52,53,53,53,0,0,1,1,1,2,5,5,7,8,9,16,20,21,23,1,14,25,103,197,293,361,424,471,641,1089,1195,1256,1296,1322
15,Buchanan,0,0,0,0,2,6,10,17,22,60,80,91,95,100,106,0,0,0,0,0,1,2,4,6,24,32,34,38,38,43,0,16,19,31,71,99,157,275,423,870,1162,1296,1355,1408,1447
16,Buckingham,0,7,16,20,23,23,24,26,34,39,43,46,50,56,56,0,0,3,4,6,8,9,9,10,12,17,27,29,30,30,2,58,459,556,593,644,681,758,893,1369,1856,2041,2070,2117,2133
17,Buena Vista City,0,0,1,1,3,4,5,5,9,16,18,19,20,21,22,0,0,0,0,0,1,1,1,1,4,12,15,19,19,20,0,6,13,15,47,75,88,125,267,512,748,838,867,891,910
18,Campbell,0,0,4,4,5,9,15,32,38,54,64,83,133,160,174,0,0,1,1,2,3,4,9,12,19,31,55,81,84,89,1,12,18,45,144,324,460,778,1201,2065,3522,4009,4207,4398,4521
19,Caroline,0,5,5,16,22,25,29,32,32,40,50,54,58,61,63,0,1,2,4,4,5,5,6,6,9,13,22,32,35,37,0,27,67,128,183,263,365,448,606,1035,1576,1825,2010,2552,2622
20,Carroll,0,2,3,18,29,35,43,49,66,101,137,152,162,194,215,0,0,1,8,14,19,24,29,30,36,56,59,67,69,74,1,11,96,214,307,396,505,631,973,1495,1978,2107,2270,2594,2672
21,Charles City,0,5,10,14,16,18,21,22,24,24,27,32,35,35,35,0,1,1,4,3,5,5,5,7,8,9,11,15,15,16,1,13,27,40,49,70,85,103,142,195,342,398,451,497,502
22,Charlotte,0,1,4,4,5,4,6,13,25,30,30,39,45,53,56,0,0,0,0,0,0,0,1,5,6,10,14,17,18,21,0,8,23,31,50,69,108,221,284,379,625,748,797,839,870
23,Charlottesville,0,13,15,17,24,27,30,38,49,69,77,92,98,104,106,0,2,3,3,11,18,29,32,31,35,39,44,53,55,57,14,56,116,212,466,681,1246,1619,1854,2203,2740,3624,3834,4007,4020
24,Chesapeake,3,57,87,130,201,322,417,483,534,616,720,846,915,973,1002,0,6,15,20,28,47,72,79,81,101,136,187,272,289,298,23,242,521,895,2450,3801,4350,5010,6657,9324,15436,18233,19503,20634,20989
25,Chesterfield,3,43,78,116,208,269,341,424,496,608,690,785,865,935,975,0,20,36,50,72,82,95,120,131,172,203,298,396,421,436,43,531,1548,2897,3937,5046,6053,7274,9323,13059,19150,23546,25404,27202,27917
26,Clarke,1,1,3,4,7,9,12,14,19,21,27,36,41,43,44,0,0,0,0,0,0,1,1,3,5,8,17,19,19,20,1,8,27,49,69,81,95,122,208,389,674,758,889,965,983
27,Colonial Heights,0,2,10,15,24,24,27,29,32,42,47,52,70,76,79,0,5,17,17,21,22,26,26,26,28,31,41,57,61,61,0,54,95,143,178,220,263,316,420,614,1043,1352,1525,1677,1709
28,Covington,0,0,0,0,0,0,1,1,6,10,16,24,25,27,29,0,0,0,0,0,0,0,0,1,4,4,10,12,13,13,0,1,4,5,12,25,32,39,157,368,565,632,569,587,603
29,Craig,0,0,0,0,1,1,1,4,3,7,9,9,13,15,18,0,0,0,0,0,0,0,0,1,1,3,4,6,5,6,0,3,5,7,15,22,31,59,90,149,215,241,272,309,316
30,Culpeper,1,11,48,62,73,84,94,97,112,134,150,166,178,188,191,0,3,6,10,12,13,17,18,20,20,34,50,56,61,64,3,141,691,808,942,1117,1210,1394,2240,2998,3743,4065,4290,4541,4657
31,Cumberland,0,1,4,4,4,8,8,9,13,14,16,19,23,27,30,0,0,0,0,0,0,2,2,4,4,4,6,9,9,9,0,13,37,51,65,97,105,123,160,197,325,384,418,472,496
32,Danville,2,13,15,19,35,59,88,117,152,171,196,234,260,278,291,0,1,2,2,5,16,28,44,50,63,66,103,123,134,137,4,35,55,86,300,606,903,1246,1632,2322,3655,4317,4452,4348,4430
33,Dickenson,0,0,0,0,1,7,7,8,12,25,34,38,40,40,41,0,0,0,0,0,1,1,1,1,5,14,14,15,15,16,0,0,0,4,22,67,102,153,268,643,821,876,910,921,942
34,Dinwiddie,0,6,12,19,30,33,38,44,49,56,63,73,83,88,93,0,0,0,0,4,8,11,12,14,15,18,26,42,42,44,0,16,80,142,197,292,399,540,669,916,1482,1789,1975,2091,2133
35,Emporia,0,8,13,20,24,30,33,36,37,41,46,48,50,50,51,0,2,5,14,15,16,26,28,28,30,32,39,42,42,42,0,23,79,136,164,231,259,300,335,417,559,616,653,668,669
36,Essex,0,1,4,4,7,9,12,13,18,26,29,33,36,43,45,0,0,0,0,1,2,2,2,2,2,4,6,8,9,10,0,7,48,58,75,128,180,201,243,341,533,635,705,753,768
37,Fairfax,17,606,1311,1613,1899,2056,2160,2282,2529,2942,3266,3499,3703,3940,4025,2,134,383,488,520,558,588,606,623,679,784,930,1040,1073,1082,244,3611,11110,13850,15616,18417,20981,24103,31072,43977,59481,66573,71411,75783,76795
38,Fairfax City,0,4,8,8,11,13,14,14,18,26,30,37,41,47,50,0,2,6,7,7,7,8,8,9,10,12,13,18,19,19,1,27,65,70,81,120,138,164,213,304,427,490,522,549,559
39,Falls Church,0,3,11,11,11,11,13,13,14,17,19,20,20,22,22,0,2,8,8,8,7,7,7,7,6,6,7,10,9,9,0,26,55,59,61,66,70,76,103,176,291,352,391,423,434
40,Fauquier,0,10,21,27,34,37,47,56,69,90,125,159,179,195,202,0,2,6,6,8,9,25,27,28,28,33,51,62,63,70,7,111,315,420,571,762,940,1117,1508,2369,3476,3946,4273,4619,4693
41,Floyd,0,0,2,2,2,6,11,13,15,19,22,25,29,29,31,0,0,0,1,1,2,9,16,15,17,18,18,20,21,23,0,2,6,17,32,153,205,253,351,507,679,735,795,839,873
42,Fluvanna,0,19,23,25,31,36,35,42,44,54,61,69,73,79,84,0,6,6,7,8,9,9,9,9,10,13,14,17,17,18,3,73,92,110,173,226,381,435,498,758,1150,1299,1579,1902,1918
43,Franklin City,0,2,3,3,7,8,19,25,28,35,43,50,55,56,57,0,0,2,2,6,6,9,13,16,17,21,26,28,32,32,1,20,42,51,119,298,422,507,547,673,859,985,1061,1131,1138
44,Franklin County,0,3,4,5,8,11,18,36,55,80,111,126,145,169,186,0,0,2,1,1,1,4,6,17,22,34,52,72,74,77,5,21,36,88,151,213,373,921,1634,2329,3348,3711,3843,3986,4066
45,Frederick,2,12,23,37,49,56,66,87,122,143,169,183,212,229,245,0,1,4,6,7,10,13,14,18,28,45,68,96,100,101,12,105,349,493,651,764,899,1207,2228,3732,6000,6751,7233,7831,8001
46,Fredericksburg,0,7,21,25,38,47,49,52,57,65,74,93,96,102,103,0,0,0,1,3,5,6,6,7,9,14,19,22,23,23,1,33,164,247,348,481,547,597,703,1039,1522,1780,1879,2077,2133
47,Galax,1,1,12,30,37,40,41,41,45,63,70,75,80,91,97,0,0,0,13,19,28,30,30,30,35,39,46,51,51,53,1,4,123,253,331,396,419,460,572,831,955,995,1034,1155,1168
48,Giles,0,0,0,1,1,2,3,4,8,22,29,35,41,50,51,0,0,0,0,0,0,0,0,0,2,7,14,18,21,22,0,4,8,15,23,43,90,143,299,605,928,1075,1156,1255,1287
49,Gloucester,0,5,8,9,12,13,13,17,20,31,41,51,58,59,62,0,1,1,1,2,2,2,3,3,7,27,37,46,47,48,7,23,31,49,141,201,249,355,475,855,1501,1863,2056,2178,2208
50,Goochland,2,10,18,22,25,25,29,31,34,34,36,43,46,51,52,0,4,6,6,7,7,7,7,7,7,8,13,21,23,23,7,76,99,119,150,220,275,335,450,612,1035,1208,1315,1430,1454
51,Grayson,0,0,4,6,8,19,27,30,40,52,61,71,77,87,95,0,0,0,2,4,6,15,19,22,24,26,31,34,33,35,0,2,38,84,128,194,322,394,524,790,1037,1133,1221,1438,1480
52,Greene,0,2,4,7,8,10,11,15,22,27,38,51,58,67,70,0,1,1,1,2,3,3,3,4,4,5,7,15,16,18,1,10,34,67,134,199,223,294,369,543,848,1002,1132,1238,1280
53,Greensville,0,10,14,18,25,32,34,40,41,43,48,50,52,53,54,0,6,7,7,9,11,11,15,16,16,18,24,25,25,25,3,39,73,359,417,709,795,907,938,1023,1312,1452,1525,1569,1581
54,Halifax,0,1,3,4,5,6,12,16,22,28,42,63,71,77,79,0,0,0,1,1,2,7,8,17,36,52,61,73,77,78,1,18,30,53,130,210,361,550,816,1141,2005,2432,2672,2773,2813
55,Hampton,3,28,30,41,49,54,68,93,120,195,236,295,334,355,386,0,1,3,5,5,16,27,33,35,48,66,111,157,172,178,13,115,207,328,1007,1554,1846,2163,2816,4332,7174,8651,9523,10248,10506
56,Hanover,1,30,51,64,78,84,101,128,163,196,215,252,264,281,284,0,9,24,26,31,35,38,44,54,72,101,125,147,154,158,6,118,326,429,584,794,1320,1705,2442,3828,5843,6651,7332,7983,8165
57,Harrisonburg,1,26,57,71,79,83,94,102,104,129,149,161,177,185,188,0,11,23,24,29,33,34,35,37,44,61,79,95,95,95,6,426,779,939,1039,1346,2667,3127,3472,4384,5305,5715,6166,6447,6492
58,Henrico,10,126,203,254,310,379,441,488,590,682,778,876,967,1032,1063,6,100,133,141,180,193,216,240,251,293,344,487,571,603,616,62,876,1820,2591,3541,4608,5491,6472,8409,12337,18463,21387,23156,24950,25433
59,Henry,0,2,9,23,54,91,120,144,168,216,251,281,313,342,362,0,1,3,4,5,16,26,32,41,53,74,105,122,121,124,1,16,113,260,477,844,1075,1384,1916,2637,3747,4195,4387,4493,4614
60,Highland,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,3,3,6,7,10,16,57,81,91,107,109,109
61,Hopewell,0,8,11,19,22,32,36,39,50,66,71,88,99,107,108,0,0,0,2,5,5,7,8,9,10,17,43,64,69,75,4,24,90,174,254,350,402,529,621,883,1745,2094,2348,2552,2601
62,Isle of Wight,1,9,12,16,20,25,35,45,55,79,98,113,135,144,150,0,2,3,8,9,11,19,26,28,29,38,52,61,66,68,4,99,128,179,325,552,753,882,1038,1519,2179,2649,2919,3107,3147
63,James City,24,51,55,58,59,63,65,69,72,100,113,126,138,146,155,4,12,16,15,16,18,21,22,22,28,39,52,71,72,72,89,158,205,263,538,743,856,967,1209,1898,3454,3867,4254,4541,4615
