,ncesdistid,div_num,fips,lea_name_19_20,students_19_20,teachers_19_20,schools_19_20,locale_19_20,student_teacher_ratio_19_20,inexperienced_teachers_19_20,out_of_field_teachers_19_20,student_psychologists_ratio_19_20,student_support_staff_ratio_19_20,student_counselors_ratio_19_20,student_librarians_media_specialists_ratio_19_20,percent_title1_schools_19_20,dist_pp_19,student_white 19_20,student_white_20_21,disadv_native_19_20,disadv_asian_19_20,disadv_black_19_20,disadv_hisp_19_20,disadv_api_19_20,disadv_multi_19_20,disadv_white_19_20,disadv_native_20_21,disadv_asian_20_21,disadv_api_19_20.1,disadv_multi_19_20.1,disadv_white_19_20.1,disadv_native_20_21.1,disadv_asian_20_21.1,disadv_black_20_21,disadv_hisp_20_21,disadv_api_20_21,disadv_multi_20_21,disadv_white_20_21,2016allgrad,2016asiangrad,2016blackgrad,2016hispanicgrad,2016whitegrad,2017allgrad,2017asiangrad,2017blackgrad,2017hispanicgrad,2017whitegrad,2018allgrad,2018asiangrad,2018blackgrad,2018hispanicgrad,2018whitegrad,2019allgrad,2019asiangrad,2019blackgrad,2019hispanicgrad,2019whitegrad,2020allgrad,2020asiangrad,2020blackgrad,2020hispanicgrad,2020whitegrad,2016alldrop,2016asiandrop,2016blackdrop,2016hispanicdrop,2016whitedrop,2017alldrop,2017asiandrop,2017blackdrop,2017hispanicdrop,2017whitedrop,2018alldrop,2018asiandrop,2018blackdrop,2018hispanicdrop,2018whitedrop,2019alldrop,2019asiandrop,2019blackdrop,2019hispanicdrop,2019whitedrop,2020alldrop,2020asiandrop,2020blackdrop,2020hispanicdrop,2020whitedrop,adult_earn_low,adult_earn_mid,adult_earn_high,total_poverty,tot_pop_hisp,tot_pop_hisp,tot_pop_black,tot_pop_native,tot_pop_asian,tot_pop_api,tot_pop_other,tot_pop_multi,hosps_2021_05,tot_hosps_proportion,deaths_2021_05,tot_deaths_proportion,cases_2021_05,tot_cases_proportion,1920_enrollrate,2021_enrollrate,LAT,LON,student_bipoc_1920,student_bipoc_2021
24,5100810,136,51-550,CHESAPEAKE CITY PBLC SCHS,41597,2757.5,48,Suburb,15.1,0.029,0.006,2310.9,159.2,184.5,322.5,0.292,11329.48889,0.458350362,0.444307212,1.48e-07,0.01959026,0.534662344,0.112161137,0.002207353,0.07505001,0.253224805,0.0024932,0.019718948,0.002207353,0.07505001,0.253224805,0.0024932,0.019718948,0.534300393,0.12178906,0.002644303,0.079177999,0.239876096,0.93,0.99,0.91,0.93,0.95,0.93,1.0,0.91,0.93,0.94,0.93,0.99,0.91,0.91,0.94,0.94,1.0,0.91,0.92,0.95,0.94,0.97,0.92,0.93,0.95,0.04,0.01,0.05,0.04,0.03,0.04,0.0,0.05,0.05,0.03,0.04,0.0,0.06,0.07,0.03,0.03,0.0,0.05,0.04,0.02,0.03,0.03,0.04,0.05,0.03,0.131,0.499,0.371,0.086,6.2,57.4,29.3,0.1,3.1,0.1,0.3,3.6,1002.0,0.176501673,298.0,0.127842128,20989.0,0.031273001,0.334170329,0.353512464,36.714377,-76.248354,0.541649638,0.555692788
25,5100840,21,51-041,CHESTERFIELD CO PBLC SCHS,62614,3970.2,69,Suburb,15.8,0.09,0.015,inf,66.2,184.8,531.1,0.319,10074.63934,0.483045844,0.460774333,3.04e-08,0.027946389,0.357640445,0.299303377,0.002077647,0.051044934,0.26015399,0.001941828,0.027020327,0.002077647,0.051044934,0.26015399,0.001941828,0.027020327,0.367831763,0.311188233,0.001569988,0.053834077,0.236613783,0.91,0.96,0.91,0.82,0.93,0.9,0.95,0.89,0.79,0.93,0.91,0.97,0.92,0.78,0.93,0.91,0.96,0.91,0.77,0.94,0.92,0.98,0.93,0.79,0.95,0.06,0.03,0.07,0.15,0.05,0.07,0.02,0.07,0.19,0.05,0.07,0.02,0.06,0.19,0.05,0.07,0.03,0.06,0.19,0.04,0.06,0.02,0.05,0.19,0.04,0.115,0.522,0.364,0.068,8.8,61.8,22.7,0.3,3.4,0.0,0.2,2.7,975.0,0.17174564,436.0,0.187044187,27917.0,0.041595521,0.298250016,0.307002945,37.3759,-77.5031,0.516954158,0.539225667
26,5100870,22,51-043,CLARKE CO PBLC SCHS,1924,141.2,4,Town,13.6,0.051,0.073,2405.0,43.0,137.4,481.0,0.5,11668.0,0.773624091,0.756446991,0.0,0.0,0.046052632,0.26754386,0.0,0.11622807,0.570175439,0.0,0.0,0.0,0.11622807,0.570175439,0.0,0.0,0.049250535,0.254817987,0.0,0.109207709,0.586723769,0.98,,,1.0,0.98,0.98,,,0.87,0.99,0.99,,,,0.99,0.98,,,1.0,0.99,0.97,,,0.95,0.98,0.01,,,0.0,0.01,0.01,,,0.07,0.0,0.01,,,,0.01,0.0,,,0.0,0.0,0.02,,,0.05,0.01,0.158,0.441,0.402,0.076,5.6,86.1,5.4,0.0,0.7,0.0,0.0,2.3,44.0,0.007750572,20.0,0.008580009,983.0,0.001464641,0.268370607,0.272407733,39.154959,-77.987428,0.22637590800000001,0.243553009
27,5100930,202,,COLONIAL BEACH PBLC SCHS,652,38.6,2,Town,16.9,0.167,0.19,inf,296.4,163.0,543.3,0.5,11049.5,0.598159509,0.597791798,0.0,0.0,0.35042735,0.045584046,0.0,0.122507123,0.481481482,0.0,0.0,0.0,0.122507123,0.481481482,0.0,0.0,0.298850575,0.054597701,0.0,0.132183908,0.514367816,0.95,,0.9,,0.96,0.96,,0.91,,0.96,0.89,,1.0,,0.81,1.0,,,,1.0,0.97,,,,0.96,0.05,,0.1,,0.04,0.04,,0.09,,0.04,0.05,,0.0,,0.09,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,38.249988,-76.961622,0.40184049099999997,0.402208201
28,5100960,106,51-570,COLONIAL HEIGHTS CITY PBLC SCHS,2899,220.2,6,Suburb,13.2,0.024,0.008,1449.5,87.8,161.1,329.4,0.667,12214.8,0.577440497,0.543103448,0.0,0.030712531,0.284398034,0.123464374,0.0,0.094594595,0.466830467,0.0,0.031360947,0.0,0.094594595,0.466830467,0.0,0.031360947,0.298816568,0.117751479,0.0,0.098816568,0.453254438,0.93,,0.97,1.0,0.92,0.96,1.0,1.0,0.91,0.95,0.91,,0.93,0.84,0.92,0.94,,0.91,0.94,0.94,0.87,,0.84,0.74,0.89,0.02,,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.11,0.03,0.04,,0.07,0.06,0.03,0.06,,0.11,0.16,0.03,0.162,0.6,0.239,0.121,5.9,72.3,14.6,0.3,4.2,0.0,0.2,2.5,79.0,0.013915801,61.0,0.026169026,1709.0,0.00254636,0.284196547,0.314112291,37.2426,-77.4085,0.422559504,0.456896552
29,5100990,107,51-580,COVINGTON CITY PBLC SCHS,1018,68.4,3,Town,14.9,0.131,0.0,inf,74.9,,2545.0,0.333,10060.66667,0.733791749,0.74015748,0.0,0.0,0.184210526,0.049707602,0.0,0.119883041,0.64619883,0.0,0.0,0.0,0.119883041,0.64619883,0.0,0.0,0.168350168,0.057239057,0.0,0.111111111,0.663299663,0.8,,0.9,,0.77,0.86,,,,0.82,0.81,,,,0.84,0.88,,0.86,,0.87,0.16,,0.2,,0.15,0.14,,0.0,,0.17,0.03,,,,0.02,0.07,,,,0.05,0.05,,0.07,,0.05,0.05,,0.0,,0.08,0.163,0.6990000000000001,0.138,0.132,2.4,81.0,12.5,0.0,1.2,0.2,0.0,2.8,29.0,0.005108332,13.0,0.005577006,603.0,0.000898453,0.293577982,0.276679842,37.7867,-79.9865,0.266208251,0.25984252
30,5101020,23,51-045,CRAIG CO PBLC SCHS,588,50.3,2,Rural,11.7,0.117,0.0,588.0,96.4,147.0,2940.0,0.5,10887.0,0.981292517,0.981684982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96,,,,0.96,0.89,,,,0.89,0.88,,,,0.88,0.86,,,,0.86,0.9,,,,0.89,0.02,,,,0.02,0.07,,,,0.07,0.06,,,,0.06,0.03,,,,0.03,0.08,,,,0.09,0.131,0.6459999999999999,0.223,0.08900000000000001,0.0,98.6,0.1,0.0,0.0,0.0,0.0,1.2,18.0,0.003170689,6.0,0.002574003,316.0,0.000470831,0.369565217,0.303030303,37.518784,-80.083861,0.018707484,0.018315018000000002
31,5101050,24,51-047,CULPEPER CO PBLC SCHS,8516,560.3,11,Town,15.2,0.07,0.027,1703.2,76.0,193.5,283.9,0.273,10153.1,0.528693815,0.508963178,2.61596e-06,0.008883249,0.176142132,0.391370558,0.0,0.083756345,0.335786802,0.005109282,0.009934715,0.0,0.083756345,0.335786802,0.005109282,0.009934715,0.199545842,0.330684076,0.0,0.091683225,0.363042861,0.93,,0.92,0.8,0.96,0.9,,0.88,0.68,0.95,0.92,1.0,0.92,0.79,0.96,0.89,,0.89,0.77,0.93,0.91,,0.87,0.84,0.94,0.04,,0.04,0.13,0.02,0.07,,0.04,0.29,0.03,0.05,0.0,0.03,0.18,0.01,0.08,,0.05,0.21,0.03,0.06,,0.07,0.16,0.03,0.161,0.503,0.33799999999999997,0.078,10.7,70.3,13.9,0.4,1.7,0.1,0.5,2.6,191.0,0.033644531,64.0,0.027456027,4657.0,0.006938795,0.31270183,0.296335635,38.48666,-77.992211,0.47130618500000004,0.491036821
32,5101080,25,51-049,CUMBERLAND CO PBLC SCHS,1321,103.0,4,Rural,12.8,0.103,0.017,1321.0,330.2,220.2,1321.0,0.25,10986.33333,0.495836488,0.485690924,0.0,0.0,0.454770756,0.054522924,0.0,0.089219331,0.401486989,0.0,0.0,0.0,0.089219331,0.401486989,0.0,0.0,0.423631124,0.03314121,0.0,0.099423631,0.443804035,0.91,,0.89,,0.95,0.95,,0.96,,0.96,0.94,,0.97,,0.92,0.93,,0.93,,0.91,0.94,,0.98,,0.93,0.06,,0.03,,0.05,0.03,,0.02,,0.04,0.03,,0.03,,0.03,0.03,,0.03,,0.04,0.04,,0.0,,0.05,0.24100000000000002,0.573,0.185,0.17800000000000002,0.9,63.3,30.0,0.1,1.2,0.0,0.0,4.4,30.0,0.005284481,9.0,0.003861004,496.0,0.000739026,0.330218069,0.33447099,37.492862,-78.248024,0.504163513,0.514309076
33,5101110,108,51-590,DANVILLE CITY PBLC SCHS,5702,388.1,14,Town,14.7,0.058,0.088,inf,132.9,203.6,475.2,0.5,12183.81818,0.184847422,0.176021798,0.0,0.008426966,0.725772472,0.061095506,0.0,0.041783708,0.162921348,0.0,0.007686932,0.0,0.041783708,0.162921348,0.0,0.007686932,0.754716981,0.057651992,0.0,0.035639413,0.144304682,0.81,,0.79,0.94,0.83,0.77,,0.73,0.85,0.87,0.81,,0.76,0.9,0.89,0.82,0.9,0.79,0.88,0.88,0.81,,0.79,0.89,0.86,0.07,,0.08,0.03,0.07,0.12,,0.14,0.04,0.09,0.09,,0.11,0.03,0.05,0.1,0.0,0.12,0.08,0.05,0.09,,0.11,0.08,0.05,0.25,0.589,0.161,0.22399999999999998,4.3,42.4,48.8,0.1,1.2,0.1,0.1,3.1,291.0,0.051259468,137.0,0.058773059,4430.0,0.006600572,0.197340426,0.218920558,36.58768,-79.390971,0.8151525780000001,0.823978202
34,5101140,26,51-051,DICKENSON CO PBLC SCHS,2064,141.9,5,Rural,14.5,0.057,0.0,2064.0,59.7,172.0,242.8,0.6,11409.4,0.975775194,0.97458058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016815035,0.0,0.0,0.0,0.983184965,0.9,,,,0.91,0.88,,,,0.88,0.91,,,,0.92,0.95,,,,0.94,0.95,,,,0.95,0.06,,,,0.06,0.1,,,,0.1,0.07,,,,0.06,0.03,,,,0.03,0.03,,,,0.03,0.226,0.532,0.24100000000000002,0.257,0.9,97.6,0.6,0.1,0.1,0.0,0.0,0.8,41.0,0.007222124,16.0,0.006864007,942.0,0.001403553,0.335784314,0.310776942,37.150416,-82.457554,0.024224805000000002,0.025419421
35,5101170,27,51-053,DINWIDDIE CO PBLC SCHS,4347,274.0,7,Rural,15.9,0.063,0.014,1449.0,76.3,167.2,289.8,0.571,10988.57143,0.544283414,0.536231884,0.0,0.0,0.398160315,0.104248795,0.0,0.063074901,0.434515988,0.0,0.0,0.0,0.063074901,0.434515988,0.0,0.0,0.375148397,0.100118718,0.0,0.067669173,0.457063712,0.87,,0.88,1.0,0.86,0.9,,0.89,0.84,0.91,0.88,,0.93,0.78,0.87,0.86,,0.88,0.8,0.86,0.91,,0.92,0.89,0.91,0.06,,0.06,0.0,0.07,0.08,,0.09,0.16,0.07,0.07,,0.04,0.11,0.08,0.05,,0.04,0.1,0.03,0.05,,0.04,0.06,0.05,0.172,0.589,0.23800000000000002,0.121,3.5,61.9,31.8,0.0,0.9,0.1,0.6,1.3,93.0,0.016381892,44.0,0.018876019,2133.0,0.003178108,0.467142857,0.471875,37.0784,-77.5864,0.45571658699999995,0.463768117
36,5101200,28,51-057,ESSEX CO PBLC SCHS,1320,109.7,3,Town,12.0,0.16,0.104,1320.0,660.0,165.0,322.0,0.667,12719.66667,0.30530303,0.301470588,0.0,0.020642202,0.612385321,0.063073395,0.0,0.092889908,0.211009174,0.0,0.024067389,0.0,0.092889908,0.211009174,0.0,0.024067389,0.614921781,0.055354994,0.0,0.095066185,0.210589651,0.87,,0.92,0.82,0.83,0.86,,0.88,,0.82,0.93,,0.95,,0.9,0.9,,0.91,,0.88,0.9,,0.91,,0.84,0.09,,0.07,0.18,0.09,0.06,,0.02,,0.1,0.06,,0.03,,0.1,0.05,,0.04,,0.08,0.04,,0.07,,0.03,0.20800000000000002,0.5820000000000001,0.21,0.168,3.6,54.8,39.3,0.0,0.6,0.0,0.0,1.7,45.0,0.007926722,10.0,0.004290004,768.0,0.001144298,0.266490765,0.287833828,37.9303,-76.8607,0.694696971,0.698529412
37,5101260,29,51-059,FAIRFAX CO PBLC SCHS,188887,13132.5,221,Suburb,14.4,0.04,0.028,1104.6,86.6,153.5,697.0,0.213,16226.31937,0.378409993,0.367878007,1.16e-08,0.132060447,0.157868066,0.566627455,0.001049679,0.019690526,0.119174735,0.003560641,0.140145226,0.001049679,0.019690526,0.119174735,0.003560641,0.140145226,0.164289572,0.543677862,0.000880158,0.021543878,0.125902663,0.92,0.97,0.93,0.77,0.97,0.91,0.97,0.92,0.74,0.98,0.92,0.98,0.94,0.74,0.98,0.91,0.98,0.93,0.75,0.98,0.93,0.98,0.96,0.79,0.99,0.06,0.02,0.05,0.21,0.01,0.07,0.02,0.05,0.24,0.01,0.07,0.01,0.04,0.24,0.01,0.07,0.02,0.05,0.23,0.01,0.06,0.01,0.03,0.2,0.01,0.08900000000000001,0.322,0.589,0.061,16.3,50.7,9.5,0.1,19.1,0.1,0.3,3.8,4025.0,0.709001233,1082.0,0.464178464,76795.0,0.114422323,0.323802369,0.318794418,38.8682,-77.2242,0.621590007,0.6321219930000002
38,5101290,109,51-610,FALLS CHURCH CITY PBLC SCHS,2648,172.9,5,Suburb,15.3,0.023,0.014,882.7,59.5,132.4,420.3,0.2,19378.75,0.629671574,0.6308,0.0,0.111111111,0.106060606,0.611111111,0.0,0.0,0.171717172,0.0,0.112820513,0.0,0.0,0.171717172,0.0,0.112820513,0.107692308,0.61025641,0.0,0.0,0.169230769,0.99,1.0,,1.0,0.99,0.99,1.0,,1.0,0.99,0.99,1.0,1.0,0.93,0.99,0.98,0.95,,1.0,0.98,0.95,1.0,0.91,0.85,0.97,0.01,0.0,,0.0,0.01,0.0,0.0,,0.0,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.0,,0.0,0.0,0.02,0.0,0.0,0.06,0.02,0.043,0.235,0.721,0.032,10.7,71.7,4.6,0.0,9.9,0.0,0.0,3.1,22.0,0.003875286,9.0,0.003861004,434.0,0.000646647,0.126963351,0.152838428,38.8882,-77.1802,0.37032842600000004,0.36920000000000003
39,5101320,30,51-061,FAUQUIER CO PBLC SCHS,11181,869.3,20,Suburb,12.9,0.047,0.081,1863.5,76.1,162.0,219.2,0.25,12761.47368,0.669439227,0.648659153,0.0,0.01226158,0.158038147,0.38726158,0.0,0.072207084,0.370231608,0.0,0.011950655,0.0,0.072207084,0.370231608,0.0,0.011950655,0.158828065,0.379336931,0.0,0.075558982,0.374325366,0.95,,0.87,0.89,0.97,0.96,0.87,0.88,0.88,0.97,0.96,1.0,0.96,0.92,0.97,0.94,1.0,0.9,0.88,0.96,0.96,1.0,0.96,0.93,0.96,0.02,,0.07,0.05,0.01,0.02,0.07,0.06,0.06,0.02,0.02,0.0,0.03,0.07,0.01,0.02,0.0,0.06,0.08,0.01,0.02,0.0,0.01,0.05,0.01,0.098,0.40299999999999997,0.5,0.057999999999999996,8.3,80.0,7.3,0.3,1.7,0.0,0.1,2.2,202.0,0.035582174,70.0,0.03003003,4693.0,0.006992434,0.290575916,0.28373494,38.7146,-77.8091,0.33056077300000003,0.351340847
40,5101350,31,51-063,FLOYD CO PBLC SCHS,1919,121.8,5,Rural,15.8,0.035,0.07,inf,40.7,191.9,383.8,0.8,11262.2,0.887675507,0.884888162,0.0,0.0,0.026315789,0.083732057,0.0,0.059808612,0.830143541,0.0,0.0,0.0,0.059808612,0.830143541,0.0,0.0,0.020075282,0.080301129,0.0,0.053952321,0.845671267,0.93,,,,0.93,0.93,,,,0.93,0.98,,,,0.98,0.99,,,,0.99,0.98,,,,0.98,0.07,,,,0.07,0.06,,,,0.06,0.02,,,,0.02,0.01,,,,0.01,0.02,,,,0.02,0.21,0.634,0.156,0.10300000000000001,2.9,93.2,1.5,0.5,0.1,0.0,0.1,1.6,31.0,0.005460631,23.0,0.00986701,873.0,0.001300745,0.339130435,0.303418803,36.9159,-80.3161,0.112324493,0.115111838
41,5101380,32,51-065,FLUVANNA CO PBLC SCHS,3549,241.4,5,Rural,14.7,0.034,0.0,1774.5,100.0,161.3,319.7,0.6,10823.0,0.694280079,0.673036093,0.0,0.0,0.248851455,0.101837672,0.0,0.108728943,0.54058193,0.0,0.0,0.0,0.108728943,0.54058193,0.0,0.0,0.247224278,0.106587713,0.0,0.120651369,0.52553664,0.94,,0.96,0.8,0.94,0.97,,1.0,1.0,0.96,0.96,,0.95,1.0,0.95,0.94,,0.92,0.94,0.95,0.96,,0.9,,0.96,0.02,,0.0,0.1,0.03,0.02,,0.0,0.0,0.03,0.02,,0.02,0.0,0.02,0.02,,0.02,0.0,0.02,0.02,,0.04,,0.02,0.10300000000000001,0.556,0.341,0.055,3.5,78.2,14.2,0.2,0.7,0.1,0.1,3.0,84.0,0.014796547,18.0,0.007722008,1918.0,0.002857764,0.290192113,0.267676768,37.873679,-78.260679,0.305719921,0.326963906
42,5101440,33,51-067,FRANKLIN CO PBLC SCHS,6887,517.0,16,Town,13.3,0.052,0.018,1377.4,66.5,140.6,459.1,0.5,11429.30769,0.768259039,0.751568958,0.0,0.004061231,0.112777257,0.107778819,0.0,0.099343955,0.676038738,0.0,0.005689001,0.0,0.099343955,0.676038738,0.0,0.005689001,0.118204804,0.103982301,0.0,0.103666245,0.668457649,0.92,,0.89,0.86,0.92,0.93,,0.93,0.9,0.94,0.9,,0.85,0.89,0.9,0.91,,0.9,0.83,0.92,0.93,,0.93,0.91,0.93,0.05,,0.07,0.14,0.05,0.06,,0.04,0.1,0.05,0.07,,0.08,0.11,0.07,0.09,,0.1,0.13,0.08,0.06,,0.08,0.09,0.06,0.17300000000000001,0.56,0.266,0.145,2.8,87.2,7.4,0.3,0.5,0.0,0.3,1.5,186.0,0.032763784,77.0,0.033033033,4066.0,0.006058222,0.319948187,0.321380244,37.016,-79.8703,0.231740962,0.248431042
43,5101410,135,51-620,FRANKLIN CITY PBLC SCHS,1078,81.4,3,Town,13.2,0.033,0.152,1078.0,107.8,179.7,269.5,0.667,13867.33333,0.141929499,0.151750973,0.0,0.0,0.867709815,0.021337127,0.0,0.028449502,0.082503556,0.0,0.0,0.0,0.028449502,0.082503556,0.0,0.0,0.88,0.0,0.0,0.027692308,0.092307692,0.89,,0.88,,0.92,0.87,,0.84,,,0.93,,0.93,,,0.96,,0.97,,0.92,0.9,,0.88,,,0.06,,0.07,,0.0,0.09,,0.11,,,0.06,,0.07,,,0.01,,0.02,,0.0,0.1,,0.12,,,0.188,0.602,0.209,0.147,1.1,36.9,56.7,0.0,1.3,0.0,0.0,4.1,57.0,0.010040514,32.0,0.013728014,1138.0,0.001695587,0.252747253,0.234265734,36.677158,-76.9238,0.858070501,0.8482490269999999
44,5101470,34,51-069,FREDERICK CO PBLC SCHS,13875,972.6,18,Rural,14.3,0.037,0.014,1632.4,89.7,170.0,330.4,0.5,11991.44444,0.696757925,0.677538644,1.02899e-06,0.017488411,0.054782975,0.375474083,0.0,0.059207754,0.490729035,0.002294104,0.018352833,0.0,0.059207754,0.490729035,0.002294104,0.018352833,0.054829089,0.380362469,0.0,0.06056435,0.483597155,0.93,1.0,0.96,0.9,0.93,0.95,1.0,0.96,0.91,0.95,0.93,1.0,0.88,0.88,0.94,0.93,0.94,0.96,0.86,0.94,0.93,1.0,0.92,0.82,0.96,0.03,0.0,0.02,0.05,0.03,0.02,0.0,0.02,0.04,0.02,0.05,0.0,0.06,0.09,0.04,0.04,0.0,0.02,0.08,0.03,0.05,0.0,0.04,0.15,0.03,0.13,0.534,0.336,0.062,8.6,83.4,3.9,0.3,1.3,0.1,0.0,2.4,245.0,0.043156597,101.0,0.043329043,8001.0,0.011921258,0.373559078,0.397546898,39.190219,-78.186758,0.30324207500000006,0.322461357
45,5101510,110,51-630,FREDERICKSBURG CITY PBLC SCHS,3755,256.3,5,Suburb,14.7,0.096,0.027,1251.7,76.3,187.8,751.0,0.6,13153.25,0.287882823,0.269393512,0.0,0.077960141,0.417936694,0.290152403,0.0,0.077960141,0.135990621,0.003469813,0.082581541,0.0,0.077960141,0.135990621,0.003469813,0.082581541,0.341776544,0.249132547,0.0,0.084663428,0.238376128,0.89,1.0,0.89,0.8,0.9,0.83,,0.86,0.79,0.85,0.83,,0.92,0.57,0.86,0.84,0.92,0.87,0.67,0.9,0.83,1.0,0.88,0.58,0.95,0.09,0.0,0.07,0.2,0.08,0.13,,0.08,0.21,0.13,0.13,,0.05,0.33,0.11,0.11,0.08,0.06,0.25,0.1,0.11,0.0,0.07,0.32,0.01,0.152,0.473,0.377,0.155,10.7,59.4,20.7,0.2,2.7,0.1,0.3,6.0,103.0,0.018143386,23.0,0.00986701,2133.0,0.003178108,0.100331675,0.088716271,38.293849,-77.458718,0.712117177,0.7306064889999999
46,5101560,111,51-640,GALAX CITY PBLC SCHS,1338,101.6,3,Town,13.2,0.078,0.096,1338.0,334.5,191.1,669.0,0.333,10332.66667,0.579970105,0.572184429,0.0,0.0,0.085234094,0.447779112,0.0,0.040816327,0.426170468,0.0,0.0,0.0,0.040816327,0.426170468,0.0,0.0,0.09103079,0.390896921,0.0,0.050870147,0.467202142,0.86,,,0.73,0.9,0.89,,,0.94,0.91,0.93,,,0.85,0.94,0.89,,,0.95,0.89,0.91,,,0.84,0.96,0.08,,,0.23,0.03,0.01,,,0.03,0.0,0.04,,,0.05,0.04,0.05,,,0.05,0.04,0.05,,,0.13,0.0,0.344,0.529,0.126,0.23800000000000002,14.5,79.1,5.0,0.0,0.6,0.2,0.3,0.3,97.0,0.017086489,53.0,0.022737023,1168.0,0.001740286,0.256338028,0.227665706,36.653633,-80.920604,0.42002989599999996,0.42781557
47,5101590,35,51-071,GILES CO PBLC SCHS,2389,175.1,6,Town,13.6,0.037,0.019,2389.0,147.5,199.1,645.7,0.5,9929.8,0.954469507,0.948695652,0.0,0.0,0.022807018,0.018421053,0.0,0.020175439,0.938596491,0.0,0.0,0.0,0.020175439,0.938596491,0.0,0.0,0.024276377,0.019607843,0.0,0.01774043,0.93837535,0.85,,,,0.87,0.9,,,,0.9,0.93,,,,0.93,0.91,,,,0.91,0.91,,,,0.91,0.11,,,,0.1,0.05,,,,0.06,0.07,,,,0.06,0.03,,,,0.03,0.04,,,,0.04,0.161,0.643,0.196,0.102,1.7,94.9,2.2,0.0,0.1,0.2,0.0,0.9,51.0,0.008983618,22.0,0.009438009,1287.0,0.001917593,0.244897959,0.31981982,37.3309,-80.7437,0.045530493000000005,0.051304348
48,5101620,36,51-073,GLOUCESTER CO PBLC SCHS,5306,376.7,9,Rural,14.1,0.03,0.0,1326.5,108.3,160.8,312.1,0.556,10990.125,0.803618545,0.795995242,0.0,0.0,0.106186069,0.072576717,0.0,0.092060399,0.729176814,0.0,0.0,0.0,0.092060399,0.729176814,0.0,0.0,0.103222793,0.078000934,0.0,0.092480149,0.726296123,0.91,,0.83,1.0,0.91,0.9,,0.91,0.93,0.91,0.93,,1.0,0.85,0.93,0.93,,0.79,1.0,0.94,0.93,,1.0,0.91,0.93,0.04,,0.03,0.0,0.04,0.07,,0.09,0.07,0.06,0.02,,0.0,0.08,0.02,0.03,,0.1,0.0,0.03,0.03,,0.0,0.04,0.03,0.13,0.589,0.281,0.08800000000000001,3.6,84.9,8.8,0.0,0.7,0.0,0.0,1.9,62.0,0.010921261,48.0,0.020592021,2208.0,0.003289856,0.350413223,0.383936452,37.37879,-76.507461,0.196381454,0.20400475799999998
49,5101650,37,51-075,GOOCHLAND CO PBLC SCHS,2619,205.5,5,Rural,12.7,0.064,0.032,1190.5,80.8,174.6,323.3,0.2,12015.2,0.728522337,0.715724245,0.0,0.0,0.294378698,0.161242604,0.0,0.076923077,0.467455621,0.0,0.0,0.0,0.076923077,0.467455621,0.0,0.0,0.29245283,0.143081761,0.0,0.092767296,0.471698113,0.97,,1.0,,0.97,0.96,,0.93,1.0,0.97,0.94,,0.97,0.91,0.94,0.96,,1.0,1.0,0.96,0.98,,0.98,0.85,1.0,0.02,,0.0,,0.02,0.02,,0.02,0.0,0.02,0.05,,0.03,0.09,0.04,0.02,,0.0,0.0,0.02,0.01,,0.03,0.15,0.0,0.134,0.439,0.42700000000000005,0.052000000000000005,2.8,77.7,15.9,0.0,1.3,0.0,0.2,2.0,52.0,0.009159767,23.0,0.00986701,1454.0,0.002166418,0.192965779,0.195571956,37.6826,-77.8852,0.271477662,0.284275754
50,5101690,38,51-077,GRAYSON CO PBLC SCHS,1556,122.5,7,Rural,12.7,0.097,0.057,1556.0,66.2,251.0,239.4,0.571,11508.16667,0.87596401,0.880026368,0.0,0.0,0.0471597,0.115755627,0.0,0.012861736,0.824222937,0.0,0.0,0.0,0.012861736,0.824222937,0.0,0.0,0.047297297,0.103603604,0.0,0.012387387,0.836711712,0.91,,,,0.9,0.96,,,,0.96,0.91,,,,0.91,0.98,,,,0.98,0.99,,,,0.99,0.03,,,,0.03,0.03,,,,0.03,0.08,,,,0.08,0.01,,,,0.01,0.0,,,,0.0,0.23800000000000002,0.6509999999999999,0.111,0.209,3.4,89.7,5.5,0.2,0.3,0.0,0.0,0.9,95.0,0.016734191,35.0,0.015015015,1480.0,0.002205157,0.315934066,0.371681416,36.62106,-81.148641,0.12403599100000001,0.11997363200000001
